TeacherID,FirstName,LastName,MiddleName,DOB,Gender,Phone,Email,HireDate,Department,Position,Classroom,YearsExperience,Certifications,Schedule,Notes
5001,Kimberly,Reed,Lindsey,1960-09-19,F,(452)242-8521,kellywendy@example.com,2012-01-01,Robotics,Counselor,Room 117,36,State Certified,Science 190;Drama 268;Honors Chemistry 263,Highly recommended for AP courses
5002,Mark,Hernandez,David,1983-12-07,F,001-346-462-1819x20798,johnsonmartin@example.net,2019-02-06,Math,Administrator,Room 376,30,Temporary License,History 286;Coding 156;Drama 241;History 493;Math 435,Focus on student engagement
5003,Christopher,Thomas,Amanda,1963-03-05,M,+1-558-972-7010x35415,heidihuang@example.net,2024-05-07,AP Biology,Teacher,Room 259,6,State Certified,History 481;Band 173;Honors Chemistry 333;History 225,Focus on student engagement
5004,Nicole,Murphy,George,1976-09-14,F,(854)460-4555x013,stephanie55@example.org,2022-04-30,AP Biology,Substitute,Room 183,22,Temporary License,Band 449;Coding 168;AP US History 263;AP Biology 387;Drama 357,Outstanding leadership in department
5005,Mckenzie,Berg,Andrew,1963-01-11,M,726.367.0553x8492,ppatel@example.net,2007-01-03,AP Biology,Administrator,Room 350,18,Temporary License,Math 213;Art 115;Art 418;Art 147;Honors Chemistry 304,Excellent performance
5006,Janice,Kennedy,Todd,1964-12-29,M,+1-842-396-1473,emma30@example.org,2021-07-17,Spanish,Substitute,Room 283,35,Temporary License,Coding 386;AP Biology 353;AP US History 367;AP Calculus 340;AP Calculus 482,Excellent performance
5007,Mark,Barnes,Debra,2000-07-10,M,(266)269-1151,dlarsen@example.org,2007-09-10,AP Biology,Department Head,Room 378,25,National Board Certified,Drama 237;Drama 226;AP Biology 479;Math 345;PE 469,Focus on student engagement
5008,Jacob,Porter,Tiffany,2000-01-11,M,001-233-917-9351,anna56@example.com,2017-08-27,Art,Department Head,Room 109,32,State Certified,Math 311;AP US History 158;PE 294;Science 224;Science 296;Music 323,Mentor for new teachers
5009,Eric,Mitchell,Jamie,1984-08-15,F,(707)988-3561,bruceroy@example.net,2024-01-20,Spanish,Department Head,Room 157,8,Temporary License,PE 258;Honors Chemistry 319;AP US History 222;English 214;Robotics 121,Excellent performance
5010,Cody,Hopkins,Garrett,1985-08-30,F,001-516-245-1519x41143,vroberts@example.org,2021-06-04,AP Biology,Teacher,Room 383,11,Temporary License,English 219;Music 429;English 254;Math 429;History 477;AP US History 462,Needs improvement in classroom management
5011,Jenna,Campbell,Julie,1978-04-11,F,+1-998-332-0063x0493,xthompson@example.net,2007-07-28,AP US History,Substitute,Room 453,2,State Certified,Science 365;Spanish 249;PE 131;AP US History 271;Spanish 479,Mentor for new teachers
5012,Robin,Adams,Marc,1968-03-01,M,001-896-253-1689x1608,kking@example.org,2014-06-25,Math,Substitute,Room 143,13,Temporary License,Drama 460;AP Calculus 373;Math 223,Needs improvement in classroom management
5013,Daniel,Johnston,Marie,1961-06-21,F,868.592.8929x38132,albert40@example.net,2022-05-04,Science,Administrator,Room 410,30,Temporary License,English 463;Honors Chemistry 499;Art 472;Math 493,Excellent performance
5014,Justin,Bond,Robert,1987-07-03,M,+1-314-620-1847x6643,mbennett@example.com,2020-03-02,AP US History,Counselor,Room 217,19,National Board Certified,PE 214;AP Biology 373;Drama 436;AP US History 215;Robotics 371;Science 405,Focus on student engagement
5015,Johnny,Wright,Adam,1983-10-07,M,001-975-878-2181,heather92@example.net,2015-11-03,Music,Administrator,Room 414,36,Temporary License,Drama 325;Drama 316;Spanish 342;Math 339;English 356,Excellent performance
5016,Johnny,Silva,Sarah,1964-11-16,F,312-882-1177,pcarter@example.com,2006-07-30,Music,Department Head,Room 135,19,Substitute Certified,Spanish 110;Science 439;Math 435;AP Calculus 286;AP Calculus 496,Outstanding leadership in department
5017,Christine,Morrison,David,1994-01-24,F,889-546-2761,smithmichael@example.com,2009-11-21,Honors Chemistry,Teacher,Room 122,12,Temporary License,AP Biology 421;Art 455;Science 337;AP Calculus 267;History 475,Needs improvement in classroom management
5018,Carla,West,Amanda,1973-05-25,M,+1-659-491-9113,hkhan@example.com,2022-09-20,Drama,Administrator,Room 191,18,Substitute Certified,English 101;Robotics 204;Spanish 194;History 345;Art 361,Outstanding leadership in department
5019,Brianna,King,Tammy,1999-08-02,F,(283)637-4930x135,millerkevin@example.net,2012-05-12,Drama,Coach,Room 306,13,National Board Certified,Band 492;Drama 148;Drama 120;AP Biology 256;AP Calculus 137,Outstanding leadership in department
